,2012,2013,2014,2015,2016
13:34,0.0,0.0,0.0,0.0,4.0
13:35,0.0,0.0,0.0,0.0,3.0
13:36,0.0,0.0,0.0,0.0,2.0
13:37,0.0,0.0,0.0,0.0,2.0
13:38,0.0,0.0,0.0,0.0,2.0
13:39,0.0,0.0,0.0,0.0,2.0
13:4,0.0,0.0,0.0,0.0,7.0
13:40,0.0,0.0,0.0,0.0,1.0
13:41,0.0,0.0,0.0,0.0,1.0
13:42,0.0,0.0,0.0,0.0,1.0
13:5,0.0,0.0,0.0,0.0,7.0
13:6,0.0,0.0,0.0,0.0,7.0
13:7,0.0,0.0,0.0,0.0,7.0
13:8,0.0,0.0,0.0,0.0,7.0
13:9,0.0,0.0,0.0,0.0,7.0
14,132.0,0.0,4.0,1.0,231.0
14%,46.0,0.0,0.0,0.0,0.0
"14%),",1.0,0.0,0.0,0.0,0.0
"14%,",34.0,0.0,0.0,0.0,0.0
14%;,4.0,0.0,0.0,0.0,0.0
14),1.0,0.0,0.0,0.0,0.0
"14,",8.0,0.0,0.0,0.0,0.0
"14,000",2.0,0.0,0.0,1.0,0.0
"14,000,000",2.0,0.0,0.0,0.0,0.0
"14,005",1.0,0.0,0.0,0.0,0.0
"14,050",1.0,0.0,0.0,0.0,0.0
"14,051",1.0,0.0,0.0,0.0,0.0
"14,056,000",1.0,0.0,0.0,0.0,0.0
"14,064,000",1.0,0.0,0.0,0.0,0.0
"14,103",1.0,0.0,0.0,0.0,0.0
"14,15.",1.0,0.0,0.0,0.0,0.0
"14,285,904;",1.0,0.0,0.0,0.0,0.0
"14,300",1.0,0.0,0.0,0.0,0.0
"14,310",1.0,0.0,0.0,0.0,0.0
"14,335",1.0,0.0,0.0,0.0,0.0
"14,363",1.0,0.0,0.0,0.0,0.0
"14,370",1.0,0.0,0.0,0.0,0.0
"14,413,944;",1.0,0.0,0.0,0.0,0.0
"14,440",1.0,0.0,0.0,0.0,0.0
"14,450",1.0,0.0,0.0,0.0,0.0
"14,462,993;",1.0,0.0,0.0,0.0,0.0
"14,480",1.0,0.0,0.0,0.0,0.0
"14,500",1.0,0.0,0.0,0.0,0.0
"14,565,656",1.0,0.0,0.0,0.0,0.0
"14,579,000",1.0,0.0,0.0,0.0,0.0
"14,610",1.0,0.0,0.0,0.0,0.0
"14,621,000;",1.0,0.0,0.0,0.0,0.0
"14,662",1.0,0.0,0.0,0.0,0.0
"14,691",1.0,0.0,0.0,0.0,0.0
"14,721,704;",1.0,0.0,0.0,0.0,0.0
"14,750",1.0,0.0,0.0,0.0,0.0
"14,760",2.0,0.0,0.0,0.0,0.0
"14,800",1.0,0.0,0.0,0.0,0.0
"14,910",1.0,0.0,0.0,0.0,0.0
"14,925",1.0,0.0,0.0,0.0,0.0
"14,932",1.0,0.0,0.0,0.0,0.0
"14,936,032",1.0,0.0,0.0,0.0,0.0
"14,972",1.0,0.0,0.0,0.0,0.0
14--deal,1.0,0.0,0.0,0.0,0.0
14-15,4.0,0.0,0.0,0.0,0.0
14.,14.0,0.0,0.0,0.0,0.0
14.),3.0,0.0,0.0,0.0,0.0
14.0%,2.0,0.0,0.0,0.0,0.0
14.00,1.0,0.0,0.0,0.0,0.0
"14.1%,",2.0,0.0,0.0,0.0,0.0
"14.14,",1.0,0.0,0.0,0.0,0.0
14.14.),2.0,0.0,0.0,0.0,0.0
14.2%,2.0,0.0,0.0,0.0,0.0
"14.2%,",1.0,0.0,0.0,0.0,0.0
14.21.,1.0,0.0,0.0,0.0,0.0
14.23.),2.0,0.0,0.0,0.0,0.0
14.26.,2.0,0.0,0.0,0.0,0.0
14.26.)),1.0,0.0,0.0,0.0,0.0
14.277,1.0,0.0,0.0,0.0,0.0
14.3%,4.0,0.0,0.0,0.0,0.0
"14.3%,",2.0,0.0,0.0,0.0,0.0
14.3.),1.0,0.0,0.0,0.0,0.0
14.39.,1.0,0.0,0.0,0.0,0.0
14.4%,1.0,0.0,0.0,0.0,0.0
14.5,1.0,0.0,0.0,0.0,0.0
14.5000,1.0,0.0,0.0,0.0,0.0
14.557,1.0,0.0,0.0,0.0,0.0
"14.6%,",1.0,0.0,0.0,0.0,0.0
14.6%;,1.0,0.0,0.0,0.0,0.0
"14.6,19.",1.0,0.0,0.0,0.0,0.0
14.67%,1.0,0.0,0.0,0.0,0.0
14.7%,1.0,0.0,0.0,0.0,0.0
"14.7%,",3.0,0.0,0.0,0.0,0.0
14.7%;,1.0,0.0,0.0,0.0,0.0
14.7.,1.0,0.0,0.0,0.0,0.0
14.786,1.0,0.0,0.0,0.0,0.0
14.8,1.0,0.0,0.0,0.0,0.0
14.8%,4.0,0.0,0.0,0.0,0.0
"14.8%,",1.0,0.0,0.0,0.0,0.0
14.8%;,1.0,0.0,0.0,0.0,0.0
"14.88%,",1.0,0.0,0.0,0.0,0.0
14.9%,1.0,0.0,0.0,0.0,0.0
"14.9%,",1.0,0.0,0.0,0.0,0.0
14.9.,1.0,0.0,0.0,0.0,0.0
14.9.),1.0,0.0,0.0,0.0,0.0
14.922,1.0,0.0,0.0,0.0,0.0
14.txt,1.0,0.0,0.0,0.0,0.0
14.zip,1.0,0.0,0.0,0.0,0.0
140,7.0,0.0,0.0,1.0,0.0
"140,",1.0,0.0,0.0,0.0,0.0
"140,000",2.0,0.0,0.0,0.0,0.0
"140,000;",1.0,0.0,0.0,0.0,0.0
"140,072",1.0,0.0,0.0,0.0,0.0
"140,800",1.0,0.0,0.0,0.0,0.0
140.05,2.0,0.0,0.0,0.0,0.0
140.40,1.0,0.0,0.0,0.0,0.0
140.88,1.0,0.0,0.0,0.0,0.0
"1403,",1.0,0.0,0.0,0.0,0.0
141,2.0,0.0,0.0,0.0,0.0
"141,",1.0,0.0,0.0,0.0,0.0
"141,039",1.0,0.0,0.0,0.0,0.0
"141,193",1.0,0.0,0.0,0.0,0.0
"141,660",1.0,0.0,0.0,0.0,0.0
141.86,1.0,0.0,0.0,0.0,0.0
"1419,",1.0,0.0,0.0,0.0,0.0
142,3.0,0.0,0.0,0.0,0.0
142.31,1.0,0.0,0.0,0.0,0.0
1425,1.0,0.0,0.0,0.0,0.0
143,5.0,0.0,0.0,0.0,0.0
"143,029",1.0,0.0,0.0,0.0,0.0
143.377,1.0,0.0,0.0,0.0,0.0
143.95,1.0,0.0,0.0,0.0,0.0
144,7.0,0.0,0.0,0.0,0.0
"144,000",1.0,0.0,0.0,0.0,0.0
"144,300",1.0,0.0,0.0,0.0,0.0
"144,791",1.0,0.0,0.0,0.0,0.0
144.64,2.0,0.0,0.0,0.0,0.0
145,5.0,0.0,0.0,0.0,0.0
146,3.0,0.0,0.0,0.0,0.0
"146,100",1.0,0.0,0.0,0.0,0.0
"146,500",1.0,0.0,0.0,0.0,0.0
147,4.0,0.0,0.0,0.0,0.0
"147,000",1.0,0.0,0.0,0.0,0.0
147.14,1.0,0.0,0.0,0.0,0.0
148,5.0,0.0,0.0,0.0,0.0
"148,",3.0,0.0,0.0,0.0,0.0
"148,940,000",1.0,0.0,0.0,0.0,0.0
149,2.0,0.0,0.0,0.0,0.0
"149,",1.0,0.0,0.0,0.0,0.0
149.59,1.0,0.0,0.0,0.0,0.0
1492,1.0,0.0,0.0,0.0,0.0
"1492,",1.0,0.0,0.0,0.0,0.0
1492;,1.0,0.0,0.0,0.0,0.0
14:1,0.0,0.0,0.0,0.0,7.0
14:10,0.0,0.0,0.0,0.0,6.0
14:11,0.0,0.0,0.0,0.0,6.0
14:12,0.0,0.0,0.0,0.0,6.0
14:13,0.0,0.0,0.0,0.0,5.0
14:14,0.0,0.0,0.0,0.0,5.0
14:15,0.0,0.0,0.0,0.0,5.0
14:16,0.0,0.0,0.0,0.0,5.0
14:17,0.0,0.0,0.0,0.0,5.0
14:18,0.0,0.0,0.0,0.0,5.0
14:19,0.0,0.0,0.0,0.0,5.0
14:2,0.0,0.0,0.0,0.0,7.0
14:20,0.0,0.0,0.0,0.0,5.0
14:21,0.0,0.0,0.0,0.0,5.0
14:22,0.0,0.0,0.0,0.0,5.0
14:23,0.0,0.0,0.0,0.0,5.0
14:24,0.0,0.0,0.0,0.0,5.0
14:25,0.0,0.0,0.0,0.0,5.0
14:26,0.0,0.0,0.0,0.0,5.0
14:27,0.0,0.0,0.0,0.0,5.0
14:28,0.0,0.0,0.0,0.0,4.0
14:29,0.0,0.0,0.0,0.0,4.0
14:3,0.0,0.0,0.0,0.0,7.0
14:30,0.0,0.0,0.0,0.0,3.0
14:31,0.0,0.0,0.0,0.0,2.0
14:4,0.0,0.0,0.0,0.0,7.0
14:5,0.0,0.0,0.0,0.0,7.0
14:6,0.0,0.0,0.0,0.0,7.0
14:7,0.0,0.0,0.0,0.0,6.0
14:8,0.0,0.0,0.0,0.0,6.0
14:9,0.0,0.0,0.0,0.0,6.0
"14ASF-00140,",1.0,0.0,0.0,0.0,0.0
14th,1.0,0.0,0.0,0.0,0.0
15,142.0,0.0,2.0,1.0,226.0
15%,77.0,0.0,0.0,0.0,0.0
"15%,",34.0,0.0,0.0,0.0,0.0
15%.,2.0,0.0,0.0,0.0,0.0
15%;,1.0,0.0,0.0,0.0,0.0
"15,",15.0,0.0,0.0,0.0,1.0
"15,000",11.0,0.0,0.0,0.0,0.0
"15,000,000",1.0,0.0,0.0,0.0,0.0
"15,000,000;",1.0,0.0,0.0,0.0,0.0
"15,000-20,000",1.0,0.0,0.0,0.0,0.0
"15,120",1.0,0.0,0.0,0.0,0.0
"15,132",1.0,0.0,0.0,0.0,0.0
"15,133",1.0,0.0,0.0,0.0,0.0
"15,134",1.0,0.0,0.0,0.0,0.0
"15,140",1.0,0.0,0.0,0.0,0.0
"15,165,243",1.0,0.0,0.0,0.0,0.0
"15,215",1.0,0.0,0.0,0.0,0.0
"15,310,000",1.0,0.0,0.0,0.0,0.0
"15,400",2.0,0.0,0.0,0.0,0.0
"15,400,000;",1.0,0.0,0.0,0.0,0.0
"15,422",1.0,0.0,0.0,0.0,0.0
"15,430",1.0,0.0,0.0,0.0,0.0
"15,500",1.0,0.0,0.0,0.0,0.0
"15,540",1.0,0.0,0.0,0.0,0.0
"15,587,485",1.0,0.0,0.0,0.0,0.0
"15,617,486;",1.0,0.0,0.0,0.0,0.0
"15,683,234",1.0,0.0,0.0,0.0,0.0
"15,700",1.0,0.0,0.0,0.0,0.0
"15,707,629;",1.0,0.0,0.0,0.0,0.0
"15,762",1.0,0.0,0.0,0.0,0.0
"15,800",3.0,0.0,0.0,0.0,0.0
"15,803,322",1.0,0.0,0.0,0.0,0.0
"15,835",2.0,0.0,0.0,0.0,0.0
"15,862,293",1.0,0.0,0.0,0.0,0.0
"15,961",1.0,0.0,0.0,0.0,0.0
"15-12548,",1.0,0.0,0.0,0.0,0.0
15-16,1.0,0.0,0.0,0.0,0.0
15-20%,2.0,0.0,0.0,0.0,0.0
15-30%,1.0,0.0,0.0,0.0,0.0
15-49,2.0,0.0,0.0,0.0,0.0
"15-49,",165.0,0.0,0.0,0.0,0.0
15-50,1.0,0.0,0.0,0.0,0.0
15-member,1.0,0.0,0.0,0.0,0.0
15.,7.0,0.0,0.0,0.0,0.0
15.),6.0,0.0,0.0,0.0,0.0
15.0,1.0,0.0,0.0,0.0,0.0
15.0%,2.0,0.0,0.0,0.0,0.0
15.0%;,1.0,0.0,0.0,0.0,0.0
15.1%,4.0,0.0,0.0,0.0,0.0
15.1.),1.0,0.0,0.0,0.0,0.0
15.19,1.0,0.0,0.0,0.0,0.0
15.2%,1.0,0.0,0.0,0.0,0.0
"15.2%,",1.0,0.0,0.0,0.0,0.0
15.2%;,2.0,0.0,0.0,0.0,0.0
15.20.),1.0,0.0,0.0,0.0,0.0
"15.21,22)",1.0,0.0,0.0,0.0,0.0
15.24.),1.0,0.0,0.0,0.0,0.0
15.250,1.0,0.0,0.0,0.0,0.0
15.267,1.0,0.0,0.0,0.0,0.0
15.28.,1.0,0.0,0.0,0.0,0.0
15.28.),1.0,0.0,0.0,0.0,0.0
15.3%,1.0,0.0,0.0,0.0,0.0
"15.3%,",2.0,0.0,0.0,0.0,0.0
15.4%,1.0,0.0,0.0,0.0,0.0
15.4%;,1.0,0.0,0.0,0.0,0.0
"15.42,",1.0,0.0,0.0,0.0,0.0
15.442,1.0,0.0,0.0,0.0,0.0
"15.45%,",1.0,0.0,0.0,0.0,0.0
15.5%,1.0,0.0,0.0,0.0,0.0
"15.6%,",1.0,0.0,0.0,0.0,0.0
"15.66%,",1.0,0.0,0.0,0.0,0.0
"15.7%,",1.0,0.0,0.0,0.0,0.0
15.7.),1.0,0.0,0.0,0.0,0.0
15.8%,2.0,0.0,0.0,0.0,0.0
"15.8%,",1.0,0.0,0.0,0.0,0.0
15.9%,2.0,0.0,0.0,0.0,0.0
"15.9%,",1.0,0.0,0.0,0.0,0.0
15.928,1.0,0.0,0.0,0.0,0.0
15.txt,0.0,1.0,0.0,0.0,0.0
15.zip,0.0,1.0,0.0,0.0,0.0
15/25,1.0,0.0,0.0,0.0,0.0
150,15.0,0.0,0.0,1.0,0.0
"150,",2.0,0.0,0.0,0.0,0.0
"150,000",1.0,0.0,0.0,0.0,0.0
"150,000,000",1.0,0.0,0.0,0.0,0.0
"150,000-200,000,",1.0,0.0,0.0,0.0,0.0
"150,000;",1.0,0.0,0.0,0.0,0.0
"150,839",1.0,0.0,0.0,0.0,0.0
1500,5.0,3.0,3.0,4.0,3.0
"1504,",1.0,0.0,0.0,0.0,0.0
150o,1.0,0.0,0.0,0.0,0.0
151,3.0,0.0,0.0,0.0,0.0
151.416,1.0,0.0,0.0,0.0,0.0
151.99,1.0,0.0,0.0,0.0,0.0
1515,1.0,0.0,0.0,0.0,0.0
152,2.0,0.0,0.0,0.0,0.0
"152,",0.0,0.0,0.0,2.0,0.0
"152,300,000",1.0,0.0,0.0,0.0,0.0
"152,505,077",1.0,0.0,0.0,0.0,0.0
"152,958",1.0,0.0,0.0,0.0,0.0
153,3.0,0.0,0.0,0.0,0.0
"153,000",1.0,0.0,0.0,0.0,0.0
"153,130",1.0,0.0,0.0,0.0,0.0
"153,196",1.0,0.0,0.0,0.0,0.0
"153,215",1.0,0.0,0.0,0.0,0.0
153.73,1.0,0.0,0.0,0.0,0.0
154,2.0,0.0,0.0,0.0,0.0
155,2.0,0.0,0.0,0.0,0.0
"155,000",1.0,0.0,0.0,0.0,0.0
"155,360",1.0,0.0,0.0,0.0,0.0
156,1.0,0.0,0.0,0.0,0.0
"156,",1.0,0.0,0.0,0.0,0.0
"156,000",2.0,0.0,0.0,0.0,0.0
157,5.0,0.0,0.0,0.0,0.0
"157,040",1.0,0.0,0.0,0.0,0.0
157.46,1.0,0.0,0.0,0.0,0.0
1579,1.0,0.0,0.0,0.0,0.0
158,4.0,0.0,0.0,0.0,0.0
"158,",1.0,0.0,0.0,0.0,0.0
"158,000",1.0,0.0,0.0,0.0,0.0
"158,812;",1.0,0.0,0.0,0.0,0.0
158.67,1.0,0.0,0.0,0.0,0.0
158.987,1.0,0.0,0.0,0.0,0.0
159,5.0,0.0,0.0,0.0,0.0
"159,186",1.0,0.0,0.0,0.0,0.0
15:1,0.0,0.0,0.0,0.0,7.0
15:10,0.0,0.0,0.0,0.0,7.0
15:11,0.0,0.0,0.0,0.0,7.0
15:12,0.0,0.0,0.0,0.0,7.0
15:13,0.0,0.0,0.0,0.0,7.0
15:14,0.0,0.0,0.0,0.0,7.0
15:15,0.0,0.0,0.0,0.0,7.0
15:16,0.0,0.0,0.0,0.0,7.0
15:17,0.0,0.0,0.0,0.0,7.0
15:18,0.0,0.0,0.0,0.0,6.0
15:19,0.0,0.0,0.0,0.0,6.0
15:2,0.0,0.0,0.0,0.0,7.0
15:20,0.0,0.0,0.0,0.0,5.0
15:21,0.0,0.0,0.0,0.0,5.0
15:22,0.0,0.0,0.0,0.0,5.0
15:23,0.0,0.0,0.0,0.0,5.0
15:24,0.0,0.0,0.0,0.0,5.0
15:25,0.0,0.0,0.0,0.0,4.0
15:26,0.0,0.0,0.0,0.0,4.0
15:27,0.0,0.0,0.0,0.0,4.0
15:28,0.0,0.0,0.0,0.0,4.0
15:29,0.0,0.0,0.0,0.0,4.0
15:3,0.0,0.0,0.0,0.0,7.0
15:30,0.0,0.0,0.0,0.0,4.0
15:31,0.0,0.0,0.0,0.0,3.0
15:32,0.0,0.0,0.0,0.0,2.0
15:33,0.0,0.0,0.0,0.0,2.0
15:34,0.0,0.0,0.0,0.0,2.0
15:35,0.0,0.0,0.0,0.0,1.0
15:36,0.0,0.0,0.0,0.0,1.0
15:4,0.0,0.0,0.0,0.0,7.0
15:5,0.0,0.0,0.0,0.0,7.0
15:6,0.0,0.0,0.0,0.0,7.0
15:7,0.0,0.0,0.0,0.0,7.0
15:8,0.0,0.0,0.0,0.0,7.0
15:9,0.0,0.0,0.0,0.0,7.0
15th,4.0,2.0,0.0,0.0,1.0
16,125.0,0.0,2.0,1.0,218.0
16%,47.0,0.0,0.0,0.0,0.0
"16%),",1.0,0.0,0.0,0.0,0.0
"16%,",29.0,0.0,0.0,0.0,0.0
16%;,5.0,0.0,0.0,0.0,0.0
"16,",12.0,0.0,0.0,1.0,0.0
"16,000",5.0,0.0,0.0,0.0,0.0
"16,000%",1.0,0.0,0.0,0.0,0.0
"16,006,352;",1.0,0.0,0.0,0.0,0.0
"16,036,000;",1.0,0.0,0.0,0.0,0.0
"16,066",1.0,0.0,0.0,0.0,0.0
"16,080,545",1.0,0.0,0.0,0.0,0.0
"16,090",1.0,0.0,0.0,0.0,0.0
"16,093",1.0,0.0,0.0,0.0,0.0
"16,160,543;",1.0,0.0,0.0,0.0,0.0
"16,17.",1.0,0.0,0.0,0.0,0.0
"16,180",1.0,0.0,0.0,0.0,0.0
"16,200",1.0,0.0,0.0,0.0,0.0
"16,201",1.0,0.0,0.0,0.0,0.0
"16,307",1.0,0.0,0.0,0.0,0.0
"16,307,170",1.0,0.0,0.0,0.0,0.0
"16,436,063",1.0,0.0,0.0,0.0,0.0
"16,449,000",1.0,0.0,0.0,0.0,0.0
"16,500",3.0,0.0,0.0,0.0,0.0
"16,550",1.0,0.0,0.0,0.0,0.0
"16,600",1.0,0.0,0.0,0.0,0.0
"16,629",1.0,0.0,0.0,0.0,0.0
"16,660",1.0,0.0,0.0,0.0,0.0
"16,680",1.0,0.0,0.0,0.0,0.0
"16,686,644",1.0,0.0,0.0,0.0,0.0
"16,700",1.0,0.0,0.0,0.0,0.0
"16,702,254",1.0,0.0,0.0,0.0,0.0
"16,900,000;",1.0,0.0,0.0,0.0,0.0
"16,923,478",1.0,0.0,0.0,0.0,0.0
"16,960,000",1.0,0.0,0.0,0.0,0.0
16-19%,1.0,0.0,0.0,0.0,0.0
16-60,1.0,0.0,0.0,0.0,0.0
16.,9.0,0.0,0.0,0.0,0.0
16.),3.0,0.0,0.0,0.0,0.0
16.0%,1.0,0.0,0.0,0.0,0.0
16.1,1.0,0.0,0.0,0.0,0.0
16.10.),1.0,0.0,0.0,0.0,0.0
16.13),1.0,0.0,0.0,0.0,0.0
16.13.,1.0,0.0,0.0,0.0,0.0
16.15,1.0,0.0,0.0,0.0,0.0
16.153,1.0,0.0,0.0,0.0,0.0
16.17.),1.0,0.0,0.0,0.0,0.0
"16.18,",1.0,0.0,0.0,0.0,0.0
16.18.,1.0,0.0,0.0,0.0,0.0
16.2,1.0,0.0,0.0,0.0,0.0
16.2%,1.0,0.0,0.0,0.0,0.0
"16.2%,",1.0,0.0,0.0,0.0,0.0
16.226,3.0,0.0,0.0,0.0,0.0
16.27.),2.0,0.0,0.0,0.0,0.0
16.3%,1.0,0.0,0.0,0.0,0.0
"16.3%,",1.0,0.0,0.0,0.0,0.0
16.3%;,1.0,0.0,0.0,0.0,0.0
16.387,3.0,0.0,0.0,0.0,0.0
16.4%,1.0,0.0,0.0,0.0,0.0
16.42,1.0,0.0,0.0,0.0,0.0
16.432,1.0,0.0,0.0,0.0,0.0
16.454,1.0,0.0,0.0,0.0,0.0
16.5%,3.0,0.0,0.0,0.0,0.0
"16.5%,",1.0,0.0,0.0,0.0,0.0
16.6%,1.0,0.0,0.0,0.0,0.0
"16.6%,",1.0,0.0,0.0,0.0,0.0
16.6.,1.0,0.0,0.0,0.0,0.0
16.648,1.0,0.0,0.0,0.0,0.0
16.7%,1.0,0.0,0.0,0.0,0.0
16.8%,2.0,0.0,0.0,0.0,0.0
16.81%;,1.0,0.0,0.0,0.0,0.0
16.84,1.0,0.0,0.0,0.0,0.0
16.9%,2.0,0.0,0.0,0.0,0.0
"16.9%,",4.0,0.0,0.0,0.0,0.0
16.].),1.0,0.0,0.0,0.0,0.0
16.txt,0.0,0.0,1.0,0.0,0.0
16.zip,0.0,0.0,1.0,0.0,0.0
160,16.0,0.0,0.0,0.0,0.0
"160,000",2.0,0.0,0.0,0.0,0.0
"160,172",1.0,0.0,0.0,0.0,0.0
160-680-920,1.0,0.0,0.0,0.0,0.0
1600,2.0,0.0,0.0,0.0,0.0
16000,1.0,0.0,0.0,0.0,0.0
1600;,1.0,0.0,0.0,0.0,0.0
1601,3.0,0.0,0.0,0.0,0.0
1603.4,1.0,0.0,0.0,0.0,0.0
1606,1.0,0.0,0.0,0.0,0.0
1607,1.0,0.0,0.0,0.0,0.0
1609),1.0,0.0,0.0,0.0,0.0
161,3.0,0.0,0.0,0.0,0.0
"161,",1.0,0.0,0.0,0.0,0.0
"161,000;",1.0,0.0,0.0,0.0,0.0
"161,470",1.0,0.0,0.0,0.0,0.0
161.08,1.0,0.0,0.0,0.0,0.0
161.txt,0.0,0.0,0.0,0.0,1.0
161.zip,0.0,0.0,0.0,0.0,1.0
1617,1.0,0.0,0.0,0.0,0.0
1618,1.0,0.0,0.0,0.0,0.0
162,4.0,0.0,0.0,0.0,0.0
"162,000",1.0,0.0,0.0,0.0,0.0
"162,000,000",1.0,0.0,0.0,0.0,0.0
162.42,1.0,0.0,0.0,0.0,0.0
1621,1.0,0.0,0.0,0.0,0.0
1627,1.0,0.0,0.0,0.0,0.0
"163,000",1.0,0.0,0.0,0.0,0.0
"163,270",1.0,0.0,0.0,0.0,0.0
"163,610",1.0,0.0,0.0,0.0,0.0
163.35,3.0,0.0,0.0,0.0,0.0
164,3.0,0.0,0.0,0.0,0.0
"164,",1.0,0.0,0.0,0.0,0.0
165,7.0,0.0,0.0,0.0,0.0
"165,",1.0,0.0,0.0,0.0,0.0
"165,006",1.0,0.0,0.0,0.0,0.0
"165,384,000",1.0,0.0,0.0,0.0,0.0
"1650,",1.0,0.0,0.0,0.0,0.0
1651,1.0,0.0,0.0,0.0,0.0
1651.,2.0,0.0,0.0,0.0,0.0
166,5.0,0.0,0.0,0.0,0.0
"166,537;",1.0,0.0,0.0,0.0,0.0
"166,956;",1.0,0.0,0.0,0.0,0.0
1661-8.txt,0.0,0.0,0.0,1.0,0.0
1661-8.zip,0.0,0.0,0.0,1.0,0.0
167,2.0,0.0,0.0,0.0,0.0
"167,778",1.0,0.0,0.0,0.0,0.0
168,3.0,0.0,0.0,0.0,0.0
"168,021",1.0,0.0,0.0,0.0,0.0
168.52,2.0,0.0,0.0,0.0,0.0
1688;,1.0,0.0,0.0,0.0,0.0
169,5.0,0.0,0.0,0.0,0.0
"169,568",1.0,0.0,0.0,0.0,0.0
16:1,0.0,0.0,0.0,0.0,6.0
16:10,0.0,0.0,0.0,0.0,6.0
16:11,0.0,0.0,0.0,0.0,6.0
16:12,0.0,0.0,0.0,0.0,6.0
16:13,0.0,0.0,0.0,0.0,6.0
16:14,0.0,0.0,0.0,0.0,5.0
16:15,0.0,0.0,0.0,0.0,5.0
16:16,0.0,0.0,0.0,0.0,4.0
16:17,0.0,0.0,0.0,0.0,4.0
16:18,0.0,0.0,0.0,0.0,4.0
16:19,0.0,0.0,0.0,0.0,4.0
16:2,0.0,0.0,0.0,0.0,6.0
16:20,0.0,0.0,0.0,0.0,4.0
16:21,0.0,0.0,0.0,0.0,3.0
16:22,0.0,0.0,0.0,0.0,2.0
16:23,0.0,0.0,0.0,0.0,2.0
16:24,0.0,0.0,0.0,0.0,2.0
16:25,0.0,0.0,0.0,0.0,2.0
16:26,0.0,0.0,0.0,0.0,1.0
16:27,0.0,0.0,0.0,0.0,1.0
16:28,0.0,0.0,0.0,0.0,1.0
16:29,0.0,0.0,0.0,0.0,1.0
16:3,0.0,0.0,0.0,0.0,6.0
16:30,0.0,0.0,0.0,0.0,1.0
16:31,0.0,0.0,0.0,0.0,1.0
16:32,0.0,0.0,0.0,0.0,1.0
16:33,0.0,0.0,0.0,0.0,1.0
16:34,0.0,0.0,0.0,0.0,1.0
16:35,0.0,0.0,0.0,0.0,1.0
16:36,0.0,0.0,0.0,0.0,1.0
16:37,0.0,0.0,0.0,0.0,1.0
16:38,0.0,0.0,0.0,0.0,1.0
16:39,0.0,0.0,0.0,0.0,1.0
16:4,0.0,0.0,0.0,0.0,6.0
16:5,0.0,0.0,0.0,0.0,6.0
16:6,0.0,0.0,0.0,0.0,6.0
16:7,0.0,0.0,0.0,0.0,6.0
16:8,0.0,0.0,0.0,0.0,6.0
16:9,0.0,0.0,0.0,0.0,6.0
16;,2.0,0.0,0.0,0.0,0.0
"16A,",0.0,0.0,0.0,1.0,0.0
16th,6.0,0.0,0.0,0.0,0.0
17,98.0,0.0,2.0,2.0,213.0
17%,37.0,0.0,0.0,0.0,0.0
"17%,",19.0,0.0,0.0,0.0,0.0
17%.,1.0,0.0,0.0,0.0,0.0
17%;,3.0,0.0,0.0,0.0,0.0
"17,",9.0,0.0,0.0,0.0,0.0
"17,000",1.0,0.0,0.0,0.0,0.0
"17,000,000",1.0,0.0,0.0,0.0,0.0
"17,038",1.0,0.0,0.0,0.0,0.0
"17,073;",1.0,0.0,0.0,0.0,0.0
"17,115,728",1.0,0.0,0.0,0.0,0.0
"17,128,000",1.0,0.0,0.0,0.0,0.0
"17,196,436",1.0,0.0,0.0,0.0,0.0
"17,200",1.0,0.0,0.0,0.0,0.0
"17,203",1.0,0.0,0.0,0.0,0.0
"17,249",1.0,0.0,0.0,0.0,0.0
"17,325,000",1.0,0.0,0.0,0.0,0.0
"17,360",1.0,0.0,0.0,0.0,0.0
"17,400",1.0,0.0,0.0,0.0,0.0
"17,500",1.0,0.0,0.0,0.0,0.0
"17,510,546",1.0,0.0,0.0,0.0,0.0
"17,533,",1.0,0.0,0.0,0.0,0.0
"17,562,000",1.0,0.0,0.0,0.0,0.0
"17,585;",1.0,0.0,0.0,0.0,0.0
"17,700",3.0,0.0,0.0,0.0,0.0
"17,702",1.0,0.0,0.0,0.0,0.0
"17,710",1.0,0.0,0.0,0.0,0.0
"17,710,000",1.0,0.0,0.0,0.0,0.0
"17,800",1.0,0.0,0.0,0.0,0.0
"17,820",2.0,0.0,0.0,0.0,0.0
"17,900",3.0,0.0,0.0,0.0,0.0
"17,960",1.0,0.0,0.0,0.0,0.0
"17,960,262",1.0,0.0,0.0,0.0,0.0
"17,968",1.0,0.0,0.0,0.0,0.0
17-party,2.0,0.0,0.0,0.0,0.0
17-year,1.0,0.0,0.0,0.0,0.0
17.,5.0,0.0,0.0,0.0,0.0
17.),4.0,0.0,0.0,0.0,0.0
17.0%,1.0,0.0,0.0,0.0,0.0
17.1%,1.0,0.0,0.0,0.0,0.0
17.12.,1.0,0.0,0.0,0.0,0.0
17.141,1.0,0.0,0.0,0.0,0.0
17.15.),1.0,0.0,0.0,0.0,0.0
17.18.),1.0,0.0,0.0,0.0,0.0
"17.2,",1.0,0.0,0.0,0.0,0.0
17.21.),1.0,0.0,0.0,0.0,0.0
17.23.,1.0,0.0,0.0,0.0,0.0
17.25.),1.0,0.0,0.0,0.0,0.0
"17.3%,",1.0,0.0,0.0,0.0,0.0
17.34.,1.0,0.0,0.0,0.0,0.0
